step,residue,nodes,reachable,reach_preservation_proxy,diversity_ratio,avg_prediction_error,mature_patterns,low_error_mature,void_pressure,constraint_violations,diffusive_selections,ark_advances,damage_events,baseline_score
0,0.0,0,0,0.6,0.0,0.0,0,0,0.0,0,0,0,0,0.0
5,0.0,1,1,1.0,1.0,0.0,0,0,0.0,0,0,0,0,0.0
10,0.0,2,2,1.0,1.0,0.0,0,0,0.0,0,0,0,0,0.0
15,2.8,3,3,1.0,1.0,0.0,0,0,0.013,0,0,0,0,0.0
20,2.8,4,4,1.0,1.0,0.0,0,0,0.013,0,0,0,0,0.0
25,2.8,5,5,1.0,1.0,0.0,0,0,0.013,0,0,0,0,0.0
30,2.8,6,6,1.0,1.0,0.0,0,0,0.013,0,0,0,0,0.0
35,2.8,7,7,1.0,1.0,0.0,0,0,0.013,0,0,0,0,0.0
40,2.8,8,8,1.0,1.0,0.0,0,0,0.013,0,0,0,0,0.0
45,2.8,9,9,1.0,1.0,0.0,0,0,0.013,0,0,0,0,0.0
50,2.8,10,10,1.0,1.0,0.0,0,0,0.013,0,0,0,0,0.0
55,3.5,11,11,1.0,1.0,0.0,0,0,0.013,0,0,0,0,0.0
60,3.5,12,12,1.0,1.0,0.0,0,0,0.013,0,0,0,0,0.0
65,3.5,13,13,1.0,1.0,0.0,0,0,0.013,0,0,0,0,0.0
70,3.5,14,14,1.0,1.0,0.0,0,0,0.013,0,0,0,0,0.0
75,3.5,15,15,1.0,1.0,0.0,0,0,0.013,0,0,0,0,0.0
80,3.5,16,16,1.0,1.0,0.0,0,0,0.013,0,0,0,0,0.0
85,18.75,40,40,0.635,0.635,2.5097,5,0,0.45,0,2,9,1,0.85
90,16.5,45,45,1.0,0.9,2.5097,6,0,0.42,0,2,10,1,0.92
95,16.5,50,50,1.0,0.9,2.5097,7,0,0.39,0,2,10,1,0.92
100,14.52,55,55,1.0,0.92,2.9852,8,0,0.36,0,3,11,1,0.95
105,22.73,36,36,0.655,0.65,2.9852,9,0,0.52,0,3,11,2,0.88
110,20.01,41,41,1.0,0.78,2.9852,10,0,0.48,0,3,12,2,0.9
115,20.01,46,46,1.0,0.82,2.9852,11,0,0.45,0,3,12,2,0.9
120,23.81,40,40,0.87,0.72,3.2959,12,0,0.55,0,4,13,2,0.87
125,23.81,45,45,1.0,0.82,3.2959,13,0,0.52,0,4,13,2,0.87
130,20.95,50,50,1.0,0.85,3.2959,14,0,0.48,0,4,14,2,0.89
135,18.44,55,55,1.0,0.88,5.7872,15,0,0.42,0,5,15,2,0.91
140,17.18,55,55,1.0,0.88,5.7872,16,0,0.39,0,5,15,2,0.91
145,15.12,60,60,1.0,0.9,5.7872,17,0,0.35,0,5,16,2,0.93
150,15.12,65,65,1.0,0.92,5.7872,18,0,0.32,0,5,16,2,0.93
155,15.61,61,61,0.938,0.88,6.0839,19,0,0.35,0,6,17,2,0.92
160,15.61,66,66,1.0,0.9,6.0839,20,0,0.32,0,6,17,2,0.92
165,13.74,71,71,1.0,0.92,6.0839,21,0,0.28,0,6,18,2,0.94
170,18.65,68,68,0.958,0.9,5.9478,22,0,0.42,0,7,18,3,0.91
175,16.41,73,73,1.0,0.92,5.9478,23,0,0.38,0,7,19,3,0.93
180,14.44,78,78,1.0,0.93,5.9478,24,0,0.32,0,7,20,3,0.94
185,14.44,83,83,1.0,0.94,6.5975,25,0,0.29,0,7,20,3,0.94
190,24.69,69,69,0.831,0.85,6.5975,26,0,0.55,0,8,21,4,0.89
195,24.69,74,74,1.0,0.88,6.5975,27,0,0.52,0,8,21,4,0.89
200,21.73,79,79,1.0,0.9,6.5975,28,0,0.48,0,8,22,4,0.9
205,26.29,65,65,0.823,0.82,7.9079,29,0,0.58,0,9,22,5,0.87
210,23.14,70,70,1.0,0.85,7.9079,30,0,0.52,0,9,23,5,0.88
215,23.14,75,75,1.0,0.88,7.9079,31,0,0.48,0,9,23,5,0.88
219,20.36,79,79,1.0,0.868,11.1699,32,0,0.45,0,9,24,5,0.91
